OID|Version|Source|Type|Definition|MUType|MeasureTitle|QDM|NQF|CMSId
2.16.840.1.113762.1.4.1045.57|20140401|Joint Commission|Extensional||FY 2014 EH|Elective Delivery|Procedure|0469|CMS113v3|
2.16.840.1.113762.1.4.1045.6|20140401|Oklahoma Foundation for Medical Quality|Extensional||FY 2014 EH|Prophylactic Antibiotic Selection for Surgical Patients|Attribute|0528|CMS172v4|
2.16.840.1.113762.1.4.1045.67|20140401|Oklahoma Foundation for Medical Quality|Grouping|(2.16.840.1.113762.1.4.1045.86:PCI),(2.16.840.1.113762.1.4.1045.66:PCI),(2.16.840.1.113883.3.666.5.737:Hospital Measures-PCI)|FY 2014 EH|Primary PCI Received Within 90 Minutes of Hospital Arrival|Procedure|0163|CMS53v3|
2.16.840.1.113762.1.4.1045.67|20140401|Oklahoma Foundation for Medical Quality|Grouping|(2.16.840.1.113762.1.4.1045.86:PCI),(2.16.840.1.113762.1.4.1045.66:PCI),(2.16.840.1.113883.3.666.5.737:Hospital Measures-PCI)|FY 2014 EH|Fibrinolytic Therapy Received Within 30 Minutes of Hospital Arrival|Procedure|0164|CMS60v3|
2.16.840.1.113762.1.4.1045.69|20140401|Oklahoma Foundation for Medical Quality|Grouping|(2.16.840.1.113883.3.666.5.747:Hospital Measures-Endotrachael intubation),(2.16.840.1.113762.1.4.1045.68:Endotracheal Intubation)|FY 2014 EH|Primary PCI Received Within 90 Minutes of Hospital Arrival|Procedure|0163|CMS53v3|
2.16.840.1.113762.1.4.1045.69|20140401|Oklahoma Foundation for Medical Quality|Grouping|(2.16.840.1.113883.3.666.5.747:Hospital Measures-Endotrachael intubation),(2.16.840.1.113762.1.4.1045.68:Endotracheal Intubation)|FY 2014 EH|Fibrinolytic Therapy Received Within 30 Minutes of Hospital Arrival|Procedure|0164|CMS60v3|
2.16.840.1.113762.1.4.1045.7|20140401|Oklahoma Foundation for Medical Quality|Extensional||FY 2014 EH|Prophylactic Antibiotic Selection for Surgical Patients|Medication|0528|CMS172v4|
2.16.840.1.113762.1.4.1045.74|20140401|Oklahoma Foundation for Medical Quality|Grouping|(2.16.840.1.113762.1.4.1045.73:Indwelling urinary catheter),(2.16.840.1.113762.1.4.1045.71:Indwelling urinary catheter),(2.16.840.1.113762.1.4.1045.72:Indwelling urinary catheter)|FY 2014 EH|Urinary catheter removed on Postoperative Day 1 (POD 1) or Postoperative Day 2 (POD 2) with day of surgery being day zero|Procedure|0453|CMS178v4|
2.16.840.1.113762.1.4.1045.77|20140401|Oklahoma Foundation for Medical Quality|Grouping|(2.16.840.1.113883.3.666.5.781:Hospital Measures-Tracheostomy care),(2.16.840.1.113762.1.4.1045.76:Tracheostomy care)|FY 2014 EH|Initial Antibiotic Selection for Community-Acquired Pneumonia (CAP) in Immunocompetent Patients|Intervention|0147|CMS188v4|
2.16.840.1.113762.1.4.1045.8|20140401|Oklahoma Foundation for Medical Quality|Extensional||FY 2014 EH|Prophylactic Antibiotic Selection for Surgical Patients|Medication|0528|CMS172v4|
2.16.840.1.113762.1.4.1045.84|20140401|Oklahoma Foundation for Medical Quality|Grouping|(2.16.840.1.113883.3.666.5.2320:Hospital Measures-Respiratory failure acute or chronic I10),(2.16.840.1.113883.3.666.5.673:Hospital Measures-Respiratory failure acute or chronic),(2.16.840.1.113883.3.666.5.2086:Tachycardia),(2.16.840.1.113762.1.4.1045.81:Hypoxemia),(2.16.840.1.113762.1.4.1045.83:Respiratory Distress),(2.16.840.1.113762.1.4.1045.80:Hypotension),(2.16.840.1.113883.3.666.5.2321:Hospital Measures-Respiratory failure acute or chronic I9),(2.16.840.1.113883.3.666.5.2602:Septic Shock),(2.16.840.1.113762.1.4.1045.79:Need for ventilator),(2.16.840.1.113762.1.4.1045.78:Need for Ventilator)|FY 2014 EH|Initial Antibiotic Selection for Community-Acquired Pneumonia (CAP) in Immunocompetent Patients|Condition/Diagnosis/Problem|0147|CMS188v4|
2.16.840.1.113762.1.4.1046.6|20140401|CDC National Center on Birth Defects and Developmental Disabilities|Grouping|(2.16.840.1.113762.1.4.1046.4:Liveborn Newborn Born in Hospital),(2.16.840.1.113762.1.4.1046.5:Liveborn Newborn Born in Hospital)|FY 2014 EH|Hearing Screening Prior To Hospital Discharge|Condition/Diagnosis/Problem|1354|CMS31v3|
2.16.840.1.113762.1.4.1078.5|20140701|OptumInsight|Grouping|(2.16.840.1.113883.3.67.1.101.1.277:Delivery),(2.16.840.1.113883.3.67.1.101.1.2433:Delivery),(2.16.840.1.113883.3.464.1003.111.11.1027:Delivery Live Births),(2.16.840.1.113762.1.4.1078.4:Delivery ICD9Px)|CY 2014 EP|Pregnant women that had HBsAg testing|Procedure|Not Applicable|CMS158v3|
2.16.840.1.113762.1.4.1080.2|20140701|Minnesota Community Measurement|Grouping|(2.16.840.1.113762.1.4.1080.1:Face to Face Interaction - No ED)|CY 2014 EP|Depression Utilization of the PHQ-9 Tool|Encounter|0712|CMS160v3|
2.16.840.1.113762.1.4.1080.2|20140701|Minnesota Community Measurement|Grouping|(2.16.840.1.113762.1.4.1080.1:Face to Face Interaction - No ED)|CY 2014 EP|Depression Remission at Twelve Months|Encounter|0710|CMS159v3|
2.16.840.1.113883.3.117.1.7.1.131|20140401|Joint Commission|Extensional||FY 2014 EH|Home Management Plan of Care (HMPC) Document Given to Patient/Caregiver|Communication||CMS26v2|
2.16.840.1.113883.3.117.1.7.1.132|20140401|Joint Commission|Extensional||FY 2014 EH|Assessed for Rehabilitation|Attribute|0441|CMS102v3|
2.16.840.1.113883.3.117.1.7.1.134|20140401|Joint Commission|Extensional||FY 2014 EH|Venous Thromboembolism Prophylaxis|Medication|0371|CMS108v3|
2.16.840.1.113883.3.117.1.7.1.134|20140401|Joint Commission|Extensional||FY 2014 EH|Intensive Care Unit Venous Thromboembolism Prophylaxis|Medication|0372|CMS190v3|
2.16.840.1.113883.3.117.1.7.1.134|20140401|Joint Commission|Extensional||FY 2014 EH|Incidence of Potentially-Preventable Venous Thromboembolism|Medication||CMS114v3|
2.16.840.1.113883.3.117.1.7.1.134|20140401|Joint Commission|Extensional||FY 2014 EH|Venous Thromboembolism Patients with Anticoagulation Overlap Therapy|Medication|0373|CMS73v3|
2.16.840.1.113883.3.117.1.7.1.136|20140401|Joint Commission|Extensional||FY 2014 EH|Elective Delivery|Condition/Diagnosis/Problem|0469|CMS113v3|
2.16.840.1.113883.3.117.1.7.1.137|20140401|Joint Commission|Extensional||FY 2014 EH|Elective Delivery|Condition/Diagnosis/Problem|0469|CMS113v3|
2.16.840.1.113883.3.117.1.7.1.138|20140401|Joint Commission|Extensional||FY 2014 EH|Elective Delivery|Condition/Diagnosis/Problem|0469|CMS113v3|
2.16.840.1.113883.3.117.1.7.1.139|20140401|Oklahoma Foundation for Medical Quality|Extensional||FY 2014 EH|Aspirin Prescribed at Discharge|Medication|0142|CMS100v3|
2.16.840.1.113883.3.117.1.7.1.14|20140701|Oklahoma Foundation for Medical Quality|Extensional||CY 2014 EP|Depression Remission at Twelve Months|Attribute|0710|CMS159v3|
2.16.840.1.113883.3.117.1.7.1.14|20140701|Oklahoma Foundation for Medical Quality|Extensional||CY 2014 EP|Depression Utilization of the PHQ-9 Tool|Attribute|0712|CMS160v3|
2.16.840.1.113883.3.117.1.7.1.14|20140701|Oklahoma Foundation for Medical Quality|Extensional||CY 2014 EP|ADHD: Follow-Up Care for Children Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication|Attribute|0108|CMS136v4|
2.16.840.1.113883.3.117.1.7.1.2|20140401|Oklahoma Foundation for Medical Quality|Grouping|(2.16.840.1.113883.3.117.1.7.1.1:SCIP Major Surgical Procedure ICD-10),(2.16.840.1.113883.3.666.5.817:SCIP Major Surgical Procedure ICD-9),(2.16.840.1.113883.3.666.5.1250:SCIP Major Surgery)|FY 2014 EH|Prophylactic Antibiotic Received Within One Hour Prior to Surgical Incision|Procedure|0527|CMS171v4|
2.16.840.1.113883.3.117.1.7.1.2|20140401|Oklahoma Foundation for Medical Quality|Grouping|(2.16.840.1.113883.3.117.1.7.1.1:SCIP Major Surgical Procedure ICD-10),(2.16.840.1.113883.3.666.5.817:SCIP Major Surgical Procedure ICD-9),(2.16.840.1.113883.3.666.5.1250:SCIP Major Surgery)|FY 2014 EH|Urinary catheter removed on Postoperative Day 1 (POD 1) or Postoperative Day 2 (POD 2) with day of surgery being day zero|Procedure|0453|CMS178v4|
2.16.840.1.113883.3.117.1.7.1.2|20140401|Oklahoma Foundation for Medical Quality|Grouping|(2.16.840.1.113883.3.117.1.7.1.1:SCIP Major Surgical Procedure ICD-10),(2.16.840.1.113883.3.666.5.817:SCIP Major Surgical Procedure ICD-9),(2.16.840.1.113883.3.666.5.1250:SCIP Major Surgery)|FY 2014 EH|Prophylactic Antibiotic Selection for Surgical Patients|Procedure|0528|CMS172v4|
2.16.840.1.113883.3.117.1.7.1.200|20140401|Joint Commission|Extensional||FY 2014 EH|Anticoagulation Therapy for Atrial Fibrillation/Flutter|Medication|0436|CMS71v4|
2.16.840.1.113883.3.117.1.7.1.201|20140401|Joint Commission|Extensional||FY 2014 EH|Antithrombotic Therapy By End of Hospital Day 2|Medication|0438|CMS72v3|
2.16.840.1.113883.3.117.1.7.1.201|20140401|Joint Commission|Extensional||FY 2014 EH|Discharged on Antithrombotic Therapy|Medication|0435|CMS104v3|
2.16.840.1.113883.3.117.1.7.1.202|20140701|Joint Commission|Grouping|(2.16.840.1.113883.3.117.1.7.1.246:Atrial Fibrillation/Flutter),(2.16.840.1.113883.3.117.1.7.1.245:Atrial Fibrillation/Flutter),(2.16.840.1.113883.3.117.1.7.1.244:Atrial Fibrillation/Flutter)|CY 2014 EP|ADE Prevention and Monitoring: Warfarin Time in Therapeutic Range|Condition/Diagnosis/Problem|NA|CMS179v3|
2.16.840.1.113883.3.117.1.7.1.203|20140401|Joint Commission|Grouping|(2.16.840.1.113883.3.117.1.7.1.243:Atrial Ablation),(2.16.840.1.113883.3.117.1.7.1.242:Atrial Ablation)|FY 2014 EH|Anticoagulation Therapy for Atrial Fibrillation/Flutter|Procedure|0436|CMS71v4|
2.16.840.1.113883.3.117.1.7.1.205|20140401|Joint Commission|Extensional||FY 2014 EH|Venous Thromboembolism Prophylaxis|Medication|0371|CMS108v3|
2.16.840.1.113883.3.117.1.7.1.205|20140401|Joint Commission|Extensional||FY 2014 EH|Intensive Care Unit Venous Thromboembolism Prophylaxis|Medication|0372|CMS190v3|
2.16.840.1.113883.3.117.1.7.1.207|20140401|Joint Commission|Extensional||FY 2014 EH|Discharged on Statin Medication|Attribute|0439|CMS105v3|
2.16.840.1.113883.3.117.1.7.1.207|20140401|Joint Commission|Extensional||FY 2014 EH|Aspirin Prescribed at Discharge|Attribute|0142|CMS100v3|
2.16.840.1.113883.3.117.1.7.1.207|20140401|Joint Commission|Extensional||FY 2014 EH|Discharged on Antithrombotic Therapy|Attribute|0435|CMS104v3|
2.16.840.1.113883.3.117.1.7.1.207|20140401|Joint Commission|Extensional||FY 2014 EH|Venous Thromboembolism Patients Receiving Unfractionated Heparin with Dosages/Platelet Count Monitoring by Protocol or Nomogram|Attribute||CMS109v3|
2.16.840.1.113883.3.117.1.7.1.207|20140401|Joint Commission|Extensional||FY 2014 EH|Assessed for Rehabilitation|Attribute|0441|CMS102v3|
2.16.840.1.113883.3.117.1.7.1.207|20140401|Joint Commission|Extensional||FY 2014 EH|Venous Thromboembolism Patients with Anticoagulation Overlap Therapy|Attribute|0373|CMS73v3|
2.16.840.1.113883.3.117.1.7.1.207|20140401|Joint Commission|Extensional||FY 2014 EH|Statin Prescribed at Discharge|Attribute|0639|CMS30v4|
2.16.840.1.113883.3.117.1.7.1.207|20140401|Joint Commission|Extensional||FY 2014 EH|Anticoagulation Therapy for Atrial Fibrillation/Flutter|Attribute|0436|CMS71v4|
2.16.840.1.113883.3.117.1.7.1.209|20140401|Joint Commission|Extensional||FY 2014 EH|Discharged on Antithrombotic Therapy|Attribute|0435|CMS104v3|
2.16.840.1.113883.3.117.1.7.1.209|20140401|Joint Commission|Extensional||FY 2014 EH|Aspirin Prescribed at Discharge|Attribute|0142|CMS100v3|
2.16.840.1.113883.3.117.1.7.1.209|20140401|Joint Commission|Extensional||FY 2014 EH|Statin Prescribed at Discharge|Attribute|0639|CMS30v4|
2.16.840.1.113883.3.117.1.7.1.209|20140401|Joint Commission|Extensional||FY 2014 EH|Venous Thromboembolism Discharge Instructions|Attribute||CMS110v3|
2.16.840.1.113883.3.117.1.7.1.209|20140401|Joint Commission|Extensional||FY 2014 EH|Venous Thromboembolism Patients with Anticoagulation Overlap Therapy|Attribute|0373|CMS73v3|
2.16.840.1.113883.3.117.1.7.1.209|20140401|Joint Commission|Extensional||FY 2014 EH|Assessed for Rehabilitation|Attribute|0441|CMS102v3|
2.16.840.1.113883.3.117.1.7.1.209|20140401|Joint Commission|Extensional||FY 2014 EH|Discharged on Statin Medication|Attribute|0439|CMS105v3|
2.16.840.1.113883.3.117.1.7.1.209|20140401|Joint Commission|Extensional||FY 2014 EH|Anticoagulation Therapy for Atrial Fibrillation/Flutter|Attribute|0436|CMS71v4|
2.16.840.1.113883.3.117.1.7.1.209|20140401|Joint Commission|Extensional||FY 2014 EH|Venous Thromboembolism Patients Receiving Unfractionated Heparin with Dosages/Platelet Count Monitoring by Protocol or Nomogram|Attribute||CMS109v3|
2.16.840.1.113883.3.117.1.7.1.211|20140401|Joint Commission|Extensional||FY 2014 EH|Venous Thromboembolism Prophylaxis|Medication|0371|CMS108v3|
2.16.840.1.113883.3.117.1.7.1.211|20140401|Joint Commission|Extensional||FY 2014 EH|Incidence of Potentially-Preventable Venous Thromboembolism|Medication||CMS114v3|
2.16.840.1.113883.3.117.1.7.1.211|20140401|Joint Commission|Extensional||FY 2014 EH|Intensive Care Unit Venous Thromboembolism Prophylaxis|Medication|0372|CMS190v3|
2.16.840.1.113883.3.117.1.7.1.212|20140401|Joint Commission|Grouping|(2.16.840.1.113883.3.117.1.7.1.233:Hemorrhagic Stroke),(2.16.840.1.113883.3.117.1.7.1.235:Hemorrhagic Stroke),(2.16.840.1.113883.3.117.1.7.1.234:Hemorrhagic Stroke)|FY 2014 EH|Stroke Education|Condition/Diagnosis/Problem||CMS107v3|
2.16.840.1.113883.3.117.1.7.1.212|20140401|Joint Commission|Grouping|(2.16.840.1.113883.3.117.1.7.1.233:Hemorrhagic Stroke),(2.16.840.1.113883.3.117.1.7.1.235:Hemorrhagic Stroke),(2.16.840.1.113883.3.117.1.7.1.234:Hemorrhagic Stroke)|FY 2014 EH|Assessed for Rehabilitation|Condition/Diagnosis/Problem|0441|CMS102v3|
2.16.840.1.113883.3.117.1.7.1.212|20140401|Joint Commission|Grouping|(2.16.840.1.113883.3.117.1.7.1.233:Hemorrhagic Stroke),(2.16.840.1.113883.3.117.1.7.1.235:Hemorrhagic Stroke),(2.16.840.1.113883.3.117.1.7.1.234:Hemorrhagic Stroke)|FY 2014 EH|Anticoagulation Therapy for Atrial Fibrillation/Flutter|Condition/Diagnosis/Problem|0436|CMS71v4|
2.16.840.1.113883.3.117.1.7.1.212|20140401|Joint Commission|Grouping|(2.16.840.1.113883.3.117.1.7.1.233:Hemorrhagic Stroke),(2.16.840.1.113883.3.117.1.7.1.235:Hemorrhagic Stroke),(2.16.840.1.113883.3.117.1.7.1.234:Hemorrhagic Stroke)|FY 2014 EH|Venous Thromboembolism Prophylaxis|Condition/Diagnosis/Problem|0371|CMS108v3|
2.16.840.1.113883.3.117.1.7.1.212|20140401|Joint Commission|Grouping|(2.16.840.1.113883.3.117.1.7.1.233:Hemorrhagic Stroke),(2.16.840.1.113883.3.117.1.7.1.235:Hemorrhagic Stroke),(2.16.840.1.113883.3.117.1.7.1.234:Hemorrhagic Stroke)|FY 2014 EH|Antithrombotic Therapy By End of Hospital Day 2|Condition/Diagnosis/Problem|0438|CMS72v3|
2.16.840.1.113883.3.117.1.7.1.212|20140401|Joint Commission|Grouping|(2.16.840.1.113883.3.117.1.7.1.233:Hemorrhagic Stroke),(2.16.840.1.113883.3.117.1.7.1.235:Hemorrhagic Stroke),(2.16.840.1.113883.3.117.1.7.1.234:Hemorrhagic Stroke)|FY 2014 EH|Thrombolytic Therapy|Condition/Diagnosis/Problem|0437|CMS91v4|
2.16.840.1.113883.3.117.1.7.1.212|20140401|Joint Commission|Grouping|(2.16.840.1.113883.3.117.1.7.1.233:Hemorrhagic Stroke),(2.16.840.1.113883.3.117.1.7.1.235:Hemorrhagic Stroke),(2.16.840.1.113883.3.117.1.7.1.234:Hemorrhagic Stroke)|FY 2014 EH|Discharged on Antithrombotic Therapy|Condition/Diagnosis/Problem|0435|CMS104v3|
2.16.840.1.113883.3.117.1.7.1.212|20140401|Joint Commission|Grouping|(2.16.840.1.113883.3.117.1.7.1.233:Hemorrhagic Stroke),(2.16.840.1.113883.3.117.1.7.1.235:Hemorrhagic Stroke),(2.16.840.1.113883.3.117.1.7.1.234:Hemorrhagic Stroke)|FY 2014 EH|Discharged on Statin Medication|Condition/Diagnosis/Problem|0439|CMS105v3|
2.16.840.1.113883.3.117.1.7.1.213|20140701|Joint Commission|Extensional||FY 2014 EH|Venous Thromboembolism Patients with Anticoagulation Overlap Therapy|Laboratory Test|0373|CMS73v3|
2.16.840.1.113883.3.117.1.7.1.213|20140701|Joint Commission|Extensional||FY 2014 EH|Venous Thromboembolism Prophylaxis|Laboratory Test|0371|CMS108v3|
2.16.840.1.113883.3.117.1.7.1.213|20140701|Joint Commission|Extensional||CY 2014 EP|ADE Prevention and Monitoring: Warfarin Time in Therapeutic Range|Laboratory Test|NA|CMS179v3|
2.16.840.1.113883.3.117.1.7.1.213|20140701|Joint Commission|Extensional||FY 2014 EH|Intensive Care Unit Venous Thromboembolism Prophylaxis|Laboratory Test|0372|CMS190v3|
2.16.840.1.113883.3.117.1.7.1.213|20140701|Joint Commission|Extensional||FY 2014 EH|Thrombolytic Therapy|Laboratory Test|0437|CMS91v4|
2.16.840.1.113883.3.117.1.7.1.214|20140401|Joint Commission|Extensional||FY 2014 EH|Incidence of Potentially-Preventable Venous Thromboembolism|Device||CMS114v3|
2.16.840.1.113883.3.117.1.7.1.214|20140401|Joint Commission|Extensional||FY 2014 EH|Intensive Care Unit Venous Thromboembolism Prophylaxis|Device|0372|CMS190v3|
2.16.840.1.113883.3.117.1.7.1.214|20140401|Joint Commission|Extensional||FY 2014 EH|Venous Thromboembolism Prophylaxis|Device|0371|CMS108v3|
2.16.840.1.113883.3.117.1.7.1.215|20140401|Joint Commission|Extensional||FY 2014 EH|Discharged on Statin Medication|Laboratory Test|0439|CMS105v3|
2.16.840.1.113883.3.117.1.7.1.217|20140401|Joint Commission|Extensional||FY 2014 EH|Discharged on Statin Medication|Medication|0439|CMS105v3|
2.16.840.1.113883.3.117.1.7.1.218|20140401|Joint Commission|Extensional||FY 2014 EH|Venous Thromboembolism Patients Receiving Unfractionated Heparin with Dosages/Platelet Count Monitoring by Protocol or Nomogram|Medication||CMS109v3|
2.16.840.1.113883.3.117.1.7.1.218|20140401|Joint Commission|Extensional||FY 2014 EH|Incidence of Potentially-Preventable Venous Thromboembolism|Medication||CMS114v3|
2.16.840.1.113883.3.117.1.7.1.218|20140401|Joint Commission|Extensional||FY 2014 EH|Venous Thromboembolism Prophylaxis|Medication|0371|CMS108v3|
2.16.840.1.113883.3.117.1.7.1.218|20140401|Joint Commission|Extensional||FY 2014 EH|Intensive Care Unit Venous Thromboembolism Prophylaxis|Medication|0372|CMS190v3|
2.16.840.1.113883.3.117.1.7.1.219|20140401|Joint Commission|Extensional||FY 2014 EH|Incidence of Potentially-Preventable Venous Thromboembolism|Medication||CMS114v3|
2.16.840.1.113883.3.117.1.7.1.219|20140401|Joint Commission|Extensional||FY 2014 EH|Venous Thromboembolism Prophylaxis|Medication|0371|CMS108v3|
2.16.840.1.113883.3.117.1.7.1.219|20140401|Joint Commission|Extensional||FY 2014 EH|Intensive Care Unit Venous Thromboembolism Prophylaxis|Medication|0372|CMS190v3|
